,Name,Core Name,Core Class,Core Subclass,Core Number,BGC,Organism,End product SMILES,Metabolite list,Base Prediction,Prediction Score
10,BGC0002668,K1726_23315_lanthipeptide,lanthipeptide,Class I,4,Unknown,Clostridium estertheticum,CC[C@H](C)[C@H](NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@@H]2CSC[C](NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C)C(=O)NCC(=O)N1)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)CSC1C,"['BGC0002668_prepeptide_c', 'BGC0002668_dehydrated_peptide_c', 'BGC0002668_cyclic_peptide_c', 'BGC0002668_core_peptide_c', 'BGC0002668_4_mature_peptide_c']",,
11,BGC0002668,K1726_23310_lanthipeptide,lanthipeptide,Class I,3,Unknown,Clostridium estertheticum,CC[C@H](C)[C@H](NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@@H]2CSC[C](NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C)C(=O)NCC(=O)N1)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)CSC1C,"['BGC0002668_prepeptide_c', 'BGC0002668_dehydrated_peptide_c', 'BGC0002668_cyclic_peptide_c', 'BGC0002668_core_peptide_c', 'BGC0002668_3_mature_peptide_c']",,
12,BGC0002668,K1726_23305_lanthipeptide,lanthipeptide,Class I,2,Unknown,Clostridium estertheticum,CC[C@H](C)[C@H](NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@@H]2CSC[C](NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C)C(=O)NCC(=O)N1)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)CSC1C,"['BGC0002668_prepeptide_c', 'BGC0002668_dehydrated_peptide_c', 'BGC0002668_cyclic_peptide_c', 'BGC0002668_core_peptide_c', 'BGC0002668_2_mature_peptide_c']",,
13,BGC0002668,K1726_23300_lanthipeptide,lanthipeptide,Class I,1,Unknown,Clostridium estertheticum,CC[C@H](C)[C@H](NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@@H]2CSC[C](NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C)C(=O)NCC(=O)N1)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)CSC1C,"['BGC0002668_prepeptide_c', 'BGC0002668_dehydrated_peptide_c', 'BGC0002668_cyclic_peptide_c', 'BGC0002668_core_peptide_c', 'BGC0002668_1_mature_peptide_c']",,
14,BGC0002663,BAMY6639_14495_lanthipeptide,lanthipeptide,Class II,2,Unknown,Bacillus amyloliquefaciens UMAF6639,C=C(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCCCN)C(C)C)C(=O)NC1CSC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)NC2C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)NC(=CC)C(=O)NC3C(=O)NCC(=O)N[C@@H](CCSC)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)CC)CSC3C)CSC2C)NC(=O)C(=CC)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccccc2)NC1=O,"['BGC0002663_prepeptide_c', 'BGC0002663_dehydrated_peptide_c', 'BGC0002663_cyclic_peptide_c', 'BGC0002663_core_peptide_c', 'BGC0002663_2_mature_peptide_c']",,
15,BGC0002663,BAMY6639_14485_lanthipeptide,lanthipeptide,Class II,1,Unknown,Bacillus amyloliquefaciens UMAF6639,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C)NC(=O)[C@@H](N)CSCC(C(=O)N[C@H]2CSC(C)C3NC(=O)[C@H](CSC(C)C(C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H]4CSCC(C(=O)NC5CSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC5=O)NC(=O)[C@H](CCC(N)=O)NC4=O)C(C)C)NC(=O)[C@H](CC(C)C)NC3=O)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC2=O)NC1=O,"['BGC0002663_prepeptide_c', 'BGC0002663_dehydrated_peptide_c', 'BGC0002663_cyclic_peptide_c', 'BGC0002663_core_peptide_c', 'BGC0002663_1_mature_peptide_c']",,
16,BGC0002635,QYZ85378.1_lanthipeptide,lanthipeptide,Class I,1,"['tta leucine codon, possible target for bldA regulation']",Actinokineospora diospyrosa,C=C(NC(=O)C(=CC)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@H](C(=O)N[C]1CSC[C@@H](C(=O)NC2C(=O)N3CCC[C@H]3C(=O)NCC(=O)N[C@H](C(=O)NC(=CC)C(=O)N[C]3CSC[C@@H]4NC(=O)[C@H](CC(N)=O)NC(=O)[C](CSC[C@@H]5NC(=O)[C@H](Cc6ccccc6)NC(=O)[C](CSC[C@@H](C(=O)O)NC5=O)NC4=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](C)NC3=O)CSC2C)NC(=O)[C@H](CC(C)C)NC1=O)[C@@H](C)CC,"['BGC0002635_prepeptide_c', 'BGC0002635_dehydrated_peptide_c', 'BGC0002635_cyclic_peptide_c', 'BGC0002635_core_peptide_c', 'BGC0002635_1_mature_peptide_c']",,
17,BGC0002575,ERS132427_00214_lassopeptide,lassopeptide,Class II,2,Unknown,Streptococcus suis,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H]1CC(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)[C@@H](C)CC)[C@@H](C)CC)C(=O)O,"['BGC0002575_prepeptide_c', 'BGC0002575_macrolactam_peptide_c', 'BGC0002575_core_peptide_c', 'BGC0002575_2_mature_peptide_c']",,
18,BGC0002575,ERS132427_00213_lassopeptide,lassopeptide,Class II,1,Unknown,Streptococcus suis,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)CC[C@@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)O)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)C)NC1=O,"['BGC0002575_prepeptide_c', 'BGC0002575_macrolactam_peptide_c', 'BGC0002575_core_peptide_c', 'BGC0002575_1_mature_peptide_c']",,
19,BGC0002425,QYB25761.1_lassopeptide,lassopeptide,Class II,1,['stlassin biosynthetic gene cluster'],Streptomyces sp.,CC[C@H](C)[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C(C)C)NC1=O,"['BGC0002425_prepeptide_c', 'BGC0002425_macrolactam_peptide_c', 'BGC0002425_core_peptide_c', 'BGC0002425_1_mature_peptide_c']",0.9632014719411224,1.0
20,BGC0002353,HZU44_05285_thiopeptide,thiopeptide,Type II,1,Unknown,Micromonospora carbonacea,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@@H](C)CC)NC(=O)c5csc(n5)C(=CC)NC(=O)C(=CC)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(=CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)O[C@@H]4C)n1)C(=O)O,"['BGC0002353_prepeptide_c', 'BGC0002353_quinaldic_acid_peptide_c', 'BGC0002353_thioazole_containing_peptide_c', 'BGC0002353_dehydrated_peptide_c', 'BGC0002353_macrocyclic_thiopeptide_c', 'BGC0002353_series_b_thiopeptide_c', 'BGC0002353_secondary_macrocycle_peptide_c', 'BGC0002353_1_mature_peptide_c']",,
21,BGC0002346,kyaA_lanthipeptide,lanthipeptide,Class II,3,['kyamicin biosynthetic gene cluster'],Saccharopolyspora sp.,C=C(NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@@H]2CSC(C)C3NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C(NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)C(C)C)C(C)C)C(C)C)CSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CNC(=O)[C@H](CCCCN)NC3=O)C(=O)N[C@@H](C)C(=O)NC(=C)C(=O)NC(=CC)C(=O)N2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N1)C(=O)NC(=CC)C(=O)N[C@@H](CCCCN)C(=O)O,"['BGC0002346_prepeptide_c', 'BGC0002346_dehydrated_peptide_c', 'BGC0002346_cyclic_peptide_c', 'BGC0002346_core_peptide_c', 'BGC0002346_3_mature_peptide_c']",0.6852678571428571,0.6902097902097902
22,BGC0002346,allorf_00261_00395_lanthipeptide,lanthipeptide,Class II,2,['kyamicin biosynthetic gene cluster'],Saccharopolyspora sp.,C=C(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)C(=C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]1CSCC(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C(=CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)O,"['BGC0002346_prepeptide_c', 'BGC0002346_dehydrated_peptide_c', 'BGC0002346_cyclic_peptide_c', 'BGC0002346_core_peptide_c', 'BGC0002346_2_mature_peptide_c']",0.6926677067082684,0.6538461538461539
23,BGC0002346,allorf_00015_00143_lanthipeptide,lanthipeptide,Class II,1,['kyamicin biosynthetic gene cluster'],Saccharopolyspora sp.,C=C1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(C)C)CSCC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)O)C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C(=C)NC1=O,"['BGC0002346_prepeptide_c', 'BGC0002346_dehydrated_peptide_c', 'BGC0002346_cyclic_peptide_c', 'BGC0002346_core_peptide_c', 'BGC0002346_1_mature_peptide_c']",0.637905604719764,0.6381019830028328
24,BGC0002325,allorf_0001_0144_lassopeptide,lassopeptide,Class II,1,Unknown,Mycetohabitans rhizoxinica HKI 454,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)C[C@@H](C(=O)O)NC1=O,"['BGC0002325_prepeptide_c', 'BGC0002325_macrolactam_peptide_c', 'BGC0002325_core_peptide_c', 'BGC0002325_1_mature_peptide_c']",,
