,BGC ID,Core Number,Max Growth,Max NP,Gradient,BGC Source Organism,Core Class,Core Subclass
65,BGC0001701,2,0.0746171449443278,0.014104916989338594,0.18903051034534138,Blautia obeum,lanthipeptide,Class I
66,BGC0001701,1,0.0746171449443278,0.014165778819518417,0.18984616511510283,Blautia obeum,lanthipeptide,Class I
67,BGC0001674,1,0.07461714496807649,0.010038505096262747,0.13453349227657435,Streptomyces mirabilis,lassopeptide,Class I
68,BGC0001669,9,0.07461714496807625,0.015273980470993702,0.20469800174649444,Microbacterium arborescens,lanthipeptide,Class II
69,BGC0001669,8,0.07461714496807668,0.013131851851851867,0.17598973878550356,Microbacterium arborescens,lanthipeptide,Class II
70,BGC0001669,7,0.0746171449680754,0.011585918438480301,0.1552715323460484,Microbacterium arborescens,lanthipeptide,Class II
71,BGC0001669,6,0.07461714496807624,0.01538888888888906,0.20623797513926526,Microbacterium arborescens,lanthipeptide,Class II
72,BGC0001669,5,0.0746171449443284,0.01710206444144318,0.2291975182674568,Microbacterium arborescens,lanthipeptide,Class II
73,BGC0001669,4,0.07461714496807645,0.04089818517379286,0.5481070763467348,Microbacterium arborescens,lanthipeptide,Class II
74,BGC0001669,3,0.07461714494432804,0.039874044084570404,0.5343817981017698,Microbacterium arborescens,lanthipeptide,Class II
75,BGC0001669,2,0.07461714496807635,0.01725744694658956,0.2312799150111259,Microbacterium arborescens,lanthipeptide,Class II
76,BGC0001669,11,0.07461714496807634,0.03454403741231498,0.46295040405384114,Microbacterium arborescens,lanthipeptide,Class II
77,BGC0001669,10,0.07461714494432771,0.01205111936916527,0.16150603695915572,Microbacterium arborescens,lanthipeptide,Class II
78,BGC0001669,1,0.07461714494432771,0.017278752436647147,0.2315654458441009,Microbacterium arborescens,lanthipeptide,Class II
79,BGC0001660,2,0.07461714496807657,0.010209237148232016,0.13682159981596495,Marinactinospora thermotolerans,lanthipeptide,Class II
80,BGC0001660,1,0.074617144944328,0.011996210583299536,0.16077016337531988,Marinactinospora thermotolerans,lanthipeptide,Class II
81,BGC0001655,1,0.07461714496807557,0.016633514730718696,0.22291813413439002,Nocardiopsis alba DSM 43377,lassopeptide,Class III
82,BGC0001645,1,0.07461714496807774,0.021511082349134715,0.2882860548783722,Streptomyces sp. NRRL S-118,lassopeptide,Class II
83,BGC0001640,1,0.07461714496807832,0.014279884008162397,0.19137537377329863,Kocuria rosea,thiopeptide,Type III
84,BGC0001634,1,0.0746171449680766,0.01601059666445903,0.2145699446328164,Streptomyces sp. NRRL F-5702,lassopeptide,Class II
85,BGC0001618,1,0.07461714494432808,0.01734977490702682,0.23251727092977761,Staphylococcus hyicus,lanthipeptide,Class I
86,BGC0001579,1,0.07461714494432785,0.010349497937261618,0.13870133928312883,Streptomyces cinnamoneus,lanthipeptide,Class II
87,BGC0001576,2,0.07461714494432767,0.02067485616544854,0.2770791643244214,Prochloron didemni,lanthipeptide,Class II
88,BGC0001576,1,0.07461714494432771,0.011073540434746459,0.14840477269679098,Prochloron didemni,lanthipeptide,Class II
89,BGC0001552,1,0.07461714494432731,0.020645962732919233,0.27669194188980856,Streptomyces avermitilis MA-4680 = NBRC 14893,lassopeptide,Class II
90,BGC0001551,1,0.07461714496807634,0.02038794755807721,0.2732340880477247,Streptomyces glaucescens,lassopeptide,Class II
91,BGC0001550,1,0.07461714494432828,0.021239616613418482,0.28464794021890444,Streptomyces katrae,lassopeptide,Class II
92,BGC0001549,1,0.07461714494432772,0.020007523888346014,0.2681357468618471,Streptomyces aurantiacus JA 4570,lassopeptide,Class II
93,BGC0001539,1,0.07461714496807595,0.015132305240994624,0.20279930634532853,Streptomyces cattleya NRRL 8057 = DSM 46488,lassopeptide,Class II
94,BGC0001507,1,0.07461714494432797,0.012318525038217426,0.16508973972949925,Streptomyces olindensis,lassopeptide,Class II
95,BGC0001496,1,0.07461714494432793,0.017420242384539802,0.2334616581422017,Actinokineospora spheciospongiae,lassopeptide,Class II
96,BGC0001494,1,0.07461714496807861,0.013995052891953063,0.18755813959298737,Acinetobacter gyllenbergii CIP 110306 = MTCC 11365,lassopeptide,Class II
97,BGC0001493,1,0.07461714496807659,0.01747174770039376,0.23415191921198122,Streptomyces achromogenes subsp. achromogenes,lassopeptide,Class II
98,BGC0001474,1,0.07461714494432747,0.014137161084529504,0.1894626375088107,Streptomyces tateyamensis,thiopeptide,Type III
99,BGC0001473,1,0.07461714494432824,0.27962145110409975,3.7474155747010287,Micromonospora arborensis,thiopeptide,Type II
100,BGC0001471,1,0.07461714494432799,0.01448129390622441,0.1940746180657131,Amycolatopsis saalfeldensis,thiopeptide,Type III
101,BGC0001391,3,0.07461714494432803,0.014197544046983446,0.19027187461509357,Bacillus thuringiensis serovar rongseni,lanthipeptide,Class II
102,BGC0001391,2,0.07461714494432782,0.013761126060856976,0.18442311175433224,Bacillus thuringiensis serovar rongseni,lanthipeptide,Class II
103,BGC0001391,1,0.07461714494432728,0.010774716369529933,0.14440000857134208,Bacillus thuringiensis serovar rongseni,lanthipeptide,Class II
104,BGC0001364,1,0.07461714494432835,0.01201626751016715,0.16103896120834502,Actinomadura atramentaria DSM 43919,lanthipeptide,Class II
105,BGC0001356,1,0.0746171449680759,0.018917265419364046,0.25352438005310424,Paenibacillus dendritiformis C454,lassopeptide,Class II
106,BGC0001311,9,0.07461714496807685,0.012253248548520897,0.16421492076336014,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
107,BGC0001311,8,0.07461714494432803,0.010402941866833602,0.1394175812354554,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
108,BGC0001311,7,0.07461714494432771,0.010881414191013994,0.1458299456396071,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
109,BGC0001311,6,0.07461714494432814,0.012684602175157465,0.1699958124184656,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
110,BGC0001311,5,0.07461714494432808,0.010909986050709766,0.1462128584368876,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
111,BGC0001311,4,0.07461714494432785,0.012779700115340242,0.1712702908276004,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
112,BGC0001311,3,0.07461714494432745,0.011084618591079615,0.14855323933058487,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
113,BGC0001311,2,0.07461714494432702,0.012063146434403923,0.16166722062877667,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
114,BGC0001311,10,0.07461714494432894,0.012398358821335345,0.16615965178761033,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
115,BGC0001311,1,0.07461714494432763,0.012425007008690763,0.16651678401741515,Ruminococcus flavefaciens FD-1,lanthipeptide,Class II
116,BGC0001307,1,0.07461714494432796,0.016990607628905505,0.22770380241139274,Streptomyces leeuwenhoekii,lassopeptide,Class II
117,BGC0001289,2,0.07461714494432774,0.012484507042253564,0.16731418833524553,Paenibacillus ehimensis,lanthipeptide,Class I
118,BGC0001289,1,0.07461714496807652,0.012205443613163816,0.1635742511776037,Paenibacillus ehimensis,lanthipeptide,Class I
119,BGC0001229,2,0.07461714494432803,0.011903312444046544,0.15952516613879592,Streptomyces bingchenggensis BCW-1,lanthipeptide,Class II
120,BGC0001229,1,0.07461714494432752,0.013178709485578352,0.1766177129319421,Streptomyces bingchenggensis BCW-1,lanthipeptide,Class II
121,BGC0001210,2,0.07461714494432853,0.010479192938209321,0.1404394787019497,Bacillus pseudomycoides DSM 12442,lanthipeptide,Class II
122,BGC0001210,1,0.07461714496807607,0.03472447114129016,0.46536853100110637,Bacillus pseudomycoides DSM 12442,lanthipeptide,Class II
123,BGC0001176,1,0.07461714494432711,0.01738266440057522,0.2329580475578993,Streptomonospora alba,lassopeptide,Class II
124,BGC0001155,1,0.0746171449680765,0.015650638573362356,0.20974587784158957,Planobispora rosea,thiopeptide,Type II
125,BGC0001146,1,0.0746171449443264,0.014592547879053841,0.19556561551559876,Streptomyces sp. NRRL WC-3908,thiopeptide,Type III
126,BGC0001145,1,0.07461714494432788,0.014590145945352835,0.19553342541099095,Streptomyces mobaraensis NBRC 13819 = DSM 40847,thiopeptide,Type III
127,BGC0000628,1,0.07461714494432821,0.013986955606985063,0.18744962189883732,Lactobacillus paragasseri JV-V03,thiopeptide,Type III
128,BGC0000626,1,0.07461714494432785,0.013413366960907927,0.1797625327384972,Bacillus thuringiensis,lanthipeptide,Class II
129,BGC0000615,2,0.07461714494432786,0.018267500171738685,0.2448163915326449,Nocardiopsis sp. TFS65-07,thiopeptide,Type III
130,BGC0000615,1,0.07461714494432808,0.01926956521739131,0.2582458124304856,Nocardiopsis sp. TFS65-07,thiopeptide,Type III
131,BGC0000614,1,0.07461714496807613,0.2796214511041011,3.747415573508382,Streptomyces laurentii,thiopeptide,Type II
132,BGC0000613,1,0.07461714494432806,0.017375849451123884,0.2328667153385194,Nonomuraea sp. Bp3714-39,thiopeptide,Type II
133,BGC0000612,4,0.07461714496807667,0.015483870967742017,0.20751090080391651,Bacillus cereus ATCC 14579,thiopeptide,Type III
134,BGC0000612,3,0.07461714496807667,0.015483870967742017,0.20751090080391651,Bacillus cereus ATCC 14579,thiopeptide,Type III
135,BGC0000612,2,0.07461714496807667,0.015483870967742017,0.20751090080391651,Bacillus cereus ATCC 14579,thiopeptide,Type III
136,BGC0000612,1,0.07461714496807667,0.015483870967742017,0.20751090080391651,Bacillus cereus ATCC 14579,thiopeptide,Type III
137,BGC0000611,1,0.07461714494432806,0.27700000000000014,3.7122835536882333,Streptomyces sioyaensis,thiopeptide,Type II
138,BGC0000610,1,0.07461714496807627,0.3067128027681661,4.110486978554167,Streptomyces actuosus,thiopeptide,Type I
139,BGC0000609,1,0.07461714494432807,0.2974496644295299,3.9863447556383647,Nocardia sp. ATCC 202099,thiopeptide,Type I
140,BGC0000608,1,0.07461714494432807,0.2974496644295299,3.9863447556383647,Actinokineospora fastidiosa,thiopeptide,Type I
141,BGC0000607,1,0.074617144944328,0.016654349596041847,0.2231973577716983,Macrococcus caseolyticus,thiopeptide,Type III
142,BGC0000606,1,0.07461714494432785,0.01701017079255417,0.22796598295533188,Streptomyces lactacystinaeus,thiopeptide,Type III
143,BGC0000605,1,0.07461714494432801,0.01472506783321313,0.1973416142389196,Streptomyces sp. ATCC 55365,thiopeptide,Type III
144,BGC0000604,1,0.07461714494432753,0.015153000170949879,0.2030766545980238,Nonomuraea sp. WU8817,thiopeptide,Type II
145,BGC0000603,1,0.07461714494432811,0.01454704595185996,0.19495581025933809,Streptomyces hygroscopicus,thiopeptide,Type III
146,BGC0000602,1,0.07461714494432778,0.018647966339410946,0.2499153023520839,Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499,sactipeptide,
147,BGC0000600,4,0.07461714494432804,0.020136301681054205,0.2698615940891055,Bacillus thuringiensis,sactipeptide,
148,BGC0000600,3,0.07461714494432804,0.020136301681054205,0.2698615940891055,Bacillus thuringiensis,sactipeptide,
149,BGC0000600,2,0.07461714494432804,0.020136301681054205,0.2698615940891055,Bacillus thuringiensis,sactipeptide,
150,BGC0000600,1,0.07461714494432746,0.015293305728088328,0.20495699399245046,Bacillus thuringiensis,sactipeptide,
151,BGC0000599,1,0.07461714494432735,0.018221186789091414,0.24419571135677245,Bacillus thuringiensis,sactipeptide,
152,BGC0000581,1,0.07461714494432736,0.012949598246895589,0.17354722237841477,Escherichia coli,lassopeptide,Class II
153,BGC0000580,2,0.07461714494432695,0.020827067669172913,0.2791190641870889,Xanthomonas gardneri ATCC 19865,lassopeptide,Class II
154,BGC0000580,1,0.07461714496807628,0.022412136536030296,0.300361753932276,Xanthomonas gardneri ATCC 19865,lassopeptide,Class II
155,BGC0000579,2,0.07461714494432882,0.017258566978193057,0.23129492546343763,Streptomyces sviceus ATCC 29083,lassopeptide,Class I
156,BGC0000579,1,0.0746171449443283,0.014072074932528955,0.1885903694523303,Streptomyces sviceus ATCC 29083,lassopeptide,Class I
157,BGC0000578,1,0.07461714494432778,0.01554633148202292,0.20834798079747108,Streptomyces filamentosus NRRL 15998,lassopeptide,Class II
158,BGC0000577,1,0.07461714496807763,0.022370657020274135,0.29980585601130477,Sphingobium japonicum UT26S,lassopeptide,Class II
159,BGC0000576,1,0.0746171449443275,0.021537215517939582,0.28863628505229844,Rubrivivax gelatinosus IL144,lassopeptide,Class II
160,BGC0000575,1,0.07461714494432778,0.016676282453279824,0.22349129634646409,Rhodococcus jostii,lassopeptide,Class II
161,BGC0000574,2,0.07461714494432772,0.019593280282935454,0.26258415941207763,Caulobacter segnis ATCC 21756,lassopeptide,Class II
162,BGC0000574,1,0.07461714494432814,0.020237442922374442,0.2712170632831583,Caulobacter segnis ATCC 21756,lassopeptide,Class II
163,BGC0000573,2,0.07461714494432772,0.021836097881425525,0.2926418304763277,Caulobacter sp. K31,lassopeptide,Class II
164,BGC0000573,1,0.07461714494432806,0.02093198992443325,0.28052520556838023,Caulobacter sp. K31,lassopeptide,Class II
165,BGC0000572,1,0.07461714496807695,0.016975422917331635,0.22750030069622926,Burkholderia thailandensis E444,lassopeptide,Class II
166,BGC0000571,1,0.07461714494432846,0.01884086722403295,0.2525005109494613,Mycetohabitans rhizoxinica HKI 454,lassopeptide,Class II
167,BGC0000570,1,0.07461714496807488,0.01720274291628935,0.23054678550954455,Asticcacaulis excentricus CB 48,lassopeptide,Class II
168,BGC0000561,1,0.07461714494432795,0.01363552456158333,0.18273983240389097,Streptococcus thermophilus,lanthipeptide,Class II
169,BGC0000560,1,0.07461714496807625,0.014060170253264965,0.18843082590844748,Bacillus subtilis,lanthipeptide,Class I
170,BGC0000559,1,0.07461714494432747,0.013381642512077293,0.1793373697433942,Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499,lanthipeptide,Class I
171,BGC0000557,2,0.07461714494432806,0.015178948570123875,0.20342440844458612,Streptococcus pyogenes,lanthipeptide,Class II
172,BGC0000557,1,0.0746171449443284,0.015103084000681544,0.20240769077870646,Streptococcus pyogenes,lanthipeptide,Class II
173,BGC0000556,1,0.07461714494432797,0.015658932987869495,0.2098570375421448,Streptococcus pyogenes,lanthipeptide,Class I
174,BGC0000555,3,0.07461714494432821,0.011998375671163615,0.1607991793322512,Staphylococcus aureus,lanthipeptide,Class II
175,BGC0000555,2,0.07461714494432824,0.012109841067443911,0.1622930102254522,Staphylococcus aureus,lanthipeptide,Class II
176,BGC0000555,1,0.07461714496807587,0.011696503188915734,0.15675356104712873,Staphylococcus aureus,lanthipeptide,Class II
177,BGC0000554,2,0.07461714496807728,0.01052148452955603,0.14100625980875217,Streptomyces filamentosus NRRL 15998,lanthipeptide,Class II
178,BGC0000554,1,0.07461714496807616,0.011582890495687772,0.15523095262681708,Streptomyces filamentosus NRRL 15998,lanthipeptide,Class II
179,BGC0000553,1,0.07461714496807687,0.018699106954503907,0.2506006757897781,Streptomyces filamentosus NRRL 15998,lanthipeptide,Class III
180,BGC0000552,2,0.07461714496807646,0.012736852188907024,0.17069605376024835,Streptococcus mutans,lanthipeptide,Class II
181,BGC0000552,1,0.07461714494432799,0.01330331682425336,0.17828766879487273,Streptococcus mutans,lanthipeptide,Class II
182,BGC0000551,1,0.07461714494432772,0.01975631500742942,0.26476910932694786,Streptomyces coelicolor A3(2),lanthipeptide,Class III
183,BGC0000549,2,0.07461714494432806,0.013988427143608656,0.18746934305842763,Streptococcus salivarius,lanthipeptide,Class I
184,BGC0000549,1,0.07461714494432746,0.014447462783874876,0.19362122196787698,Streptococcus salivarius,lanthipeptide,Class I
185,BGC0000547,2,0.07461714496807581,0.014300618445818782,0.19165325143352988,Streptococcus salivarius,lanthipeptide,Class II
186,BGC0000547,1,0.07461714496807602,0.011137077522301848,0.14925628053802786,Streptococcus salivarius,lanthipeptide,Class II
187,BGC0000546,2,0.07461714494432871,0.0188088838591031,0.2520718780266421,Streptomyces albidoflavus,lanthipeptide,Class III
188,BGC0000546,1,0.07461714494432822,0.014017923036373154,0.18786463951189653,Streptomyces albidoflavus,lanthipeptide,Class III
189,BGC0000545,3,0.07461714496807638,0.01574795688736233,0.2110501131355242,[Ruminococcus] gnavus E1,lanthipeptide,Class II
190,BGC0000545,2,0.07461714496807638,0.01574795688736233,0.2110501131355242,[Ruminococcus] gnavus E1,lanthipeptide,Class II
191,BGC0000545,1,0.07461714496807638,0.01574795688736233,0.2110501131355242,[Ruminococcus] gnavus E1,lanthipeptide,Class II
192,BGC0000544,1,0.07461714494432811,0.015586425180235619,0.20888530634433491,Planomonospora alba,lanthipeptide,Class I
193,BGC0000543,1,0.07461714494432771,0.012990718124083998,0.1740983005149346,Staphylococcus epidermidis,lanthipeptide,Class I
194,BGC0000542,1,0.07461714494432824,0.015104799772791808,0.20243068512017556,Paenibacillus terrae,lanthipeptide,Class I
195,BGC0000541,1,0.07461714494432779,0.014941844131033322,0.20024679505201523,Paenibacillus polymyxa,lanthipeptide,Class I
196,BGC0000540,1,0.07461714494432806,0.014367840933650285,0.19255415018050007,Paenibacillus polymyxa OSY-DF,lanthipeptide,Class I
197,BGC0000539,1,0.07461714496807648,0.013334001905430454,0.17869890239213995,Staphylococcus warneri,lanthipeptide,Class II
198,BGC0000538,1,0.07461714494432944,0.014354655870445363,0.19237744731663375,Lactococcus lactis,lanthipeptide,Class I
199,BGC0000537,1,0.07461714494432806,0.014467899891186072,0.19389511488251915,Streptococcus uberis,lanthipeptide,Class I
200,BGC0000536,1,0.07461714496807652,0.014519246519246543,0.1945832492714418,Lactococcus lactis,lanthipeptide,Class I
201,BGC0000535,1,0.0746171449680767,0.014211201368106035,0.190454906498848,Lactococcus lactis subsp. lactis,lanthipeptide,Class I
202,BGC0000534,4,0.0746171449443274,0.014673067372951501,0.1966447172951903,Streptococcus mutans,lanthipeptide,Class II
203,BGC0000534,3,0.07461714496807652,0.015323268410741041,0.20535854617992688,Streptococcus mutans,lanthipeptide,Class II
204,BGC0000534,2,0.0746171449680759,0.015770371248962165,0.21135050470919708,Streptococcus mutans,lanthipeptide,Class II
205,BGC0000534,1,0.07461714496807602,0.015060316021974217,0.2018345251405368,Streptococcus mutans,lanthipeptide,Class II
206,BGC0000533,2,0.07461714494432835,0.011746101859622809,0.15741826986795787,Streptococcus mutans,lanthipeptide,Class I
207,BGC0000533,1,0.07461714494432797,0.01253039298840826,0.16792914011595075,Streptococcus mutans,lanthipeptide,Class I
208,BGC0000532,1,0.07461714496807645,0.014230975061543414,0.19071990850938977,Streptococcus mutans,lanthipeptide,Class II
209,BGC0000531,2,0.07461714496807545,0.01185766521002408,0.15891341346680202,Streptococcus mutans,lanthipeptide,Class I
210,BGC0000531,1,0.07461714494432777,0.012386808272778093,0.16600485427337047,Streptococcus mutans,lanthipeptide,Class I
211,BGC0000530,2,0.07461714496807603,0.012287219295813591,0.16467018807903352,Streptococcus mutans N66,lanthipeptide,Class I
212,BGC0000530,1,0.07461714494432854,0.01230484475498595,0.16490640005278318,Streptococcus mutans N66,lanthipeptide,Class I
213,BGC0000529,1,0.07461714494432772,0.01500423178920047,0.20108289858041625,Microbispora corallina,lanthipeptide,Class I
214,BGC0000528,1,0.07461714494432756,0.011241122759553591,0.1506506683945182,Clavibacter michiganensis subsp. michiganensis NCPPB 382,lanthipeptide,Class II
215,BGC0000527,1,0.07461714494432854,0.012084526244035445,0.16195374740016716,Bacillus sp. HIL-Y85/54728,lanthipeptide,Class II
216,BGC0000526,4,0.07461714494432815,0.019497030574088994,0.2612942452922278,Streptococcus macedonicus,lanthipeptide,Class II
